172.10.0.2,DC01.BIGMKT1.COM
172.30.2.100,WSS3-353.BIGMKT3.COM
172.30.2.101,WSS3-354.BIGMKT3.COM
172.30.2.102,WSS3-355.BIGMKT3.COM
172.30.2.103,WSS3-356.BIGMKT3.COM
172.30.2.104,WSS3-357.BIGMKT3.COM
172.30.2.105,WSS3-358.BIGMKT3.COM
172.30.2.106,WSS3-359.BIGMKT3.COM
172.30.2.107,WSS3-360.BIGMKT3.COM
172.30.2.108,WSS3-361.BIGMKT3.COM
172.30.2.109,WSS3-362.BIGMKT3.COM
172.30.2.110,WSS3-363.BIGMKT3.COM
172.30.2.111,WSS3-364.BIGMKT3.COM
172.30.2.112,WSS3-365.BIGMKT3.COM
172.30.2.113,WSS3-366.BIGMKT3.COM
172.30.2.114,WSS3-367.BIGMKT3.COM
172.30.2.115,WSS3-368.BIGMKT3.COM
172.30.2.116,WSS3-369.BIGMKT3.COM
172.30.2.117,WSS3-370.BIGMKT3.COM
172.30.2.118,WSS3-371.BIGMKT3.COM
172.30.2.119,WSS3-372.BIGMKT3.COM
172.30.2.120,WSS3-373.BIGMKT3.COM
172.30.2.121,WSS3-374.BIGMKT3.COM
172.30.2.122,WSS3-375.BIGMKT3.COM
172.30.2.123,WSS3-376.BIGMKT3.COM
172.30.2.124,WSS3-377.BIGMKT3.COM
172.30.2.125,WSS3-378.BIGMKT3.COM
172.30.2.126,WSS3-379.BIGMKT3.COM
172.30.2.127,WSS3-380.BIGMKT3.COM
172.30.2.128,WSS3-381.BIGMKT3.COM
172.30.2.129,WSS3-382.BIGMKT3.COM
172.30.2.130,WSS3-383.BIGMKT3.COM
172.30.2.131,WSS3-384.BIGMKT3.COM
172.30.2.132,WSS3-385.BIGMKT3.COM
172.30.2.133,WSS3-386.BIGMKT3.COM
172.30.2.134,WSS3-387.BIGMKT3.COM
172.30.2.135,WSS3-388.BIGMKT3.COM
172.30.2.136,WSS3-389.BIGMKT3.COM
172.30.2.137,WSS3-390.BIGMKT3.COM
172.30.2.138,WSS3-391.BIGMKT3.COM
172.30.2.139,WSS3-392.BIGMKT3.COM
172.30.2.140,WSS3-393.BIGMKT3.COM
172.30.2.141,WSS3-394.BIGMKT3.COM
172.30.2.142,WSS3-395.BIGMKT3.COM
172.30.2.143,WSS3-396.BIGMKT3.COM
172.30.2.144,WSS3-397.BIGMKT3.COM
172.30.2.145,WSS3-398.BIGMKT3.COM
172.30.2.146,WSS3-399.BIGMKT3.COM
172.30.2.147,WSS3-400.BIGMKT3.COM
